Location,date,total_cases,new_cases,total_death,new_death,total cases / million,new cases / million,total deaths / million,new death / million,icu,icu / million,hosp,hosp / million
USA,4/15/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
USA,4/16/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
USA,4/17/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
USA,4/18/20,521632,0,22637,0,1541.968,0,66.916,0,,,,
USA,4/19/20,717782,196150,38535,15898,2121.796,579.828,113.911,46.995,,,,
USA,4/20/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/21/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/22/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/23/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/24/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/25/20,717782,0,38535,0,2121.796,0,113.911,0,,,,
USA,4/26/20,922947,205165,53434,14899,2728.273,606.477,157.953,44.042,,,,
USA,4/27/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
USA,4/28/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
USA,4/29/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
USA,4/30/20,922947,0,53434,0,2728.273,0,157.953,0,,,,
